ObjectId,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_
4818,2019/03/12 21:04:42+00,1.91,1.63,1.48,1.36,2.59,9.61,11.53,67,18,1011.38,Chapel Hill Public Library,outside,35.932522,-79.035728,430
4819,2019/03/12 22:05:02+00,2.09,1.84,1.68,1.53,2.49,9.38,11.49,66,18,1011.68,Chapel Hill Public Library,outside,35.932522,-79.035728,4050
4820,2019/03/12 23:05:04+00,1.83,1.82,1.8,1.67,2.44,9.22,11.46,65,22,1011.77,Chapel Hill Public Library,outside,35.932522,-79.035728,990
4821,2019/03/13 00:05:14+00,1.89,1.75,1.76,1.71,2.36,9,11.42,59,28,1012.44,Chapel Hill Public Library,outside,35.932522,-79.035728,4600
4822,2019/03/13 01:05:14+00,1.76,1.75,1.74,1.72,2.28,8.78,11.37,54,33,1012.94,Chapel Hill Public Library,outside,35.932522,-79.035728,8200
4823,2019/03/13 02:05:14+00,2.18,2.09,1.97,1.88,2.25,8.57,11.33,51,39,1013.53,Chapel Hill Public Library,outside,35.932522,-79.035728,11800
4824,2019/03/13 03:05:14+00,2.38,2.48,2.29,2.13,2.26,8.37,11.29,49,43,1013.82,Chapel Hill Public Library,outside,35.932522,-79.035728,15400
4825,2019/03/13 04:05:14+00,2.98,3.02,2.76,2.51,2.32,8.2,11.25,46,45,1013.65,Chapel Hill Public Library,outside,35.932522,-79.035728,19000
4826,2019/03/13 05:05:14+00,4.4,3.62,3.23,2.92,2.43,8.05,11.22,46,46,1013.42,Chapel Hill Public Library,outside,35.932522,-79.035728,22600
4827,2019/03/13 06:05:58+00,5.87,5.33,4.74,4.07,2.74,7.95,11.19,45,47,1013.4,Chapel Hill Public Library,outside,35.932522,-79.035728,1070
4828,2019/03/13 07:04:38+00,6.61,6.92,6.39,5.51,3.2,7.92,11.17,44,50,1013.22,Chapel Hill Public Library,outside,35.932522,-79.035728,4590
4829,2019/03/13 08:04:38+00,7.8,6.98,6.63,6.09,3.6,7.88,11.15,45,48,1013.16,Chapel Hill Public Library,outside,35.932522,-79.035728,8190
4830,2019/03/13 09:04:38+00,7.2,7.61,7.6,7.06,4.11,7.88,11.14,44,49,1012.66,Chapel Hill Public Library,outside,35.932522,-79.035728,11790
4831,2019/03/13 10:04:38+00,7.28,6.76,6.99,6.94,4.43,7.85,11.12,43,52,1013.03,Chapel Hill Public Library,outside,35.932522,-79.035728,15390
4832,2019/03/13 11:04:38+00,4.85,5.69,6.14,6.43,4.62,7.79,11.09,41,56,1013.97,Chapel Hill Public Library,outside,35.932522,-79.035728,18990
4833,2019/03/13 12:04:39+00,5.74,5.58,5.59,5.89,4.71,7.72,11.07,44,50,1013.97,Chapel Hill Public Library,outside,35.932522,-79.035728,22590
4834,2019/03/13 13:04:39+00,10.67,8.95,7.32,6.73,5,7.7,11.05,50,45,1014.21,Chapel Hill Public Library,outside,35.932522,-79.035728,26190
4835,2019/03/13 14:04:39+00,14.74,14.73,12.78,10.63,6.05,7.89,11.06,54,42,1014.98,Chapel Hill Public Library,outside,35.932522,-79.035728,29790
4836,2019/03/13 15:04:39+00,12.24,12.8,13.33,12.27,6.97,8.08,11.08,62,39,1014.71,Chapel Hill Public Library,outside,35.932522,-79.035728,33390
4837,2019/03/13 16:04:39+00,8.76,9.33,10.7,11.12,7.27,8.13,11.07,65,35,1014.46,Chapel Hill Public Library,outside,35.932522,-79.035728,36990
4838,2019/03/13 17:03:20+00,8.38,9.05,9.71,10.36,7.41,8.14,11.07,70,27,1013.64,Chapel Hill Public Library,outside,35.932522,-79.035728,1181
4839,2019/03/13 18:05:18+00,11.6,8.58,8.95,9.69,7.45,8.14,11.06,69,26,1013.11,Chapel Hill Public Library,outside,35.932522,-79.035728,30
4840,2019/03/13 19:04:35+00,5.1,5.98,7.41,8.58,7.38,8.12,11.05,71,23,1011.74,Chapel Hill Public Library,outside,35.932522,-79.035728,1440
4841,2019/03/13 20:03:58+00,5.54,5.62,6.06,7.11,7.19,8.05,11.03,71,23,1011.06,Chapel Hill Public Library,outside,35.932522,-79.035728,5010
4842,2019/03/13 21:04:27+00,4.96,5.01,5.44,6.18,6.98,7.96,11,72,23,1011.17,Chapel Hill Public Library,outside,35.932522,-79.035728,1790
4843,2019/03/13 22:04:39+00,3.85,4.36,4.82,5.42,6.73,7.87,10.98,70,23,1011.29,Chapel Hill Public Library,outside,35.932522,-79.035728,5400
4844,2019/03/13 23:04:22+00,5.13,5,4.71,4.99,6.48,7.77,10.95,70,25,1011.05,Chapel Hill Public Library,outside,35.932522,-79.035728,31
